allianceid,cusip1,cusip2,effective,licensing,exlicensing,manufacturing,oem,marketing,rnd,strategic,supply,techtrans,cballiance,jv
196,74981V,237688,1990-01-01,0,0,0,0,1,0,1,0,1,0,0
197,80862T,428236,1990-01-01,0,0,0,0,1,0,1,0,0,0,0
198,912889,559776,1990-01-01,0,0,0,0,0,0,0,0,0,0,1
199,294821,04367I,1990-01-01,0,0,1,0,0,0,0,0,0,0,1
200,53225T,13101C,1990-01-01,0,0,0,0,0,1,0,0,0,0,1
201,695252,665815,1990-01-01,0,0,0,0,1,1,0,0,0,1,1
202,765658,72940A,1990-01-01,0,0,1,0,1,0,1,0,0,0,0
203,594950,587200,1990-01-01,0,0,0,0,0,0,1,0,1,0,0
204,87307I,124845,1990-01-01,0,0,0,0,0,0,0,0,0,0,1
205,68556M,294821,1990-01-01,0,0,0,0,1,1,1,0,0,0,0
206,563775,126830,1990-01-01,0,0,0,0,0,1,0,0,1,1,1
206,695252,126830,1990-01-01,0,0,0,0,0,1,0,0,1,1,1
206,695252,563775,1990-01-01,0,0,0,0,0,1,0,0,1,1,1
207,866810,58526M,1990-01-01,1,0,0,0,0,0,1,0,1,0,0
208,681062,670006,1990-01-01,0,0,0,0,1,1,1,0,1,1,0
209,69931T,552653,1990-01-01,0,0,0,0,1,0,0,0,0,0,1
209,87307Y,552653,1990-01-01,0,0,0,0,1,0,0,0,0,0,1
209,87307Y,69931T,1990-01-01,0,0,0,0,1,0,0,0,0,0,1
210,75040J,60450C,1990-01-01,1,0,0,0,0,1,1,0,0,1,0
210,784213,60450C,1990-01-01,1,0,0,0,0,1,1,0,0,1,0
210,784213,75040J,1990-01-01,1,0,0,0,0,1,1,0,0,1,0
210,885094,60450C,1990-01-01,1,0,0,0,0,1,1,0,0,1,0
210,885094,75040J,1990-01-01,1,0,0,0,0,1,1,0,0,1,0
210,885094,784213,1990-01-01,1,0,0,0,0,1,1,0,0,1,0
211,63506Q,12289R,1990-01-01,0,0,0,0,0,0,0,0,0,0,1
212,875370,871893,1990-01-01,0,0,0,0,1,1,1,0,0,0,0
213,037833,00386J,1990-01-01,0,0,0,0,0,1,1,0,0,0,0
214,725811,00386J,1990-01-01,1,1,0,0,1,0,1,0,0,0,0
215,59164V,111021,1990-01-01,0,0,0,0,0,0,0,0,0,0,1
216,65443A,00753K,1990-01-03,1,0,1,0,0,0,1,0,1,0,0
217,817438,428236,1990-01-03,0,0,0,0,0,0,1,0,1,0,0
218,60106Q,49904Z,1990-01-04,0,0,0,0,0,0,0,0,0,0,1
219,879403,552673,1990-01-04,0,0,0,0,0,0,0,0,0,0,1
220,428236,036384,1990-01-04,0,0,0,0,1,0,1,0,0,0,0
221,942900,53626K,1990-01-05,0,0,0,0,0,0,0,0,0,0,1
222,989349,10011W,1990-01-06,0,0,1,0,0,0,1,0,0,0,0
223,595077,594918,1990-01-08,0,0,0,0,0,0,1,0,0,0,0
224,628735,35168G,1990-01-08,1,0,0,0,1,0,1,0,1,1,0
225,87265M,459200,1990-01-09,0,0,0,0,1,1,1,0,0,0,0
226,801833,456779,1990-01-10,0,0,0,0,1,0,1,0,0,0,0
227,68377A,48757R,1990-01-10,0,0,0,0,1,0,1,0,0,0,0
228,91915T,459200,1990-01-10,0,0,0,0,0,0,1,0,1,0,0
229,58016I,292555,1990-01-11,0,0,0,1,0,1,1,1,0,0,0
230,83286W,030177,1990-01-15,0,0,0,0,0,0,1,0,0,0,0
231,74327Y,40450Q,1990-01-15,0,0,0,0,0,0,0,0,0,0,1
232,637640,00427M,1990-01-15,0,0,1,0,1,0,1,0,0,0,0
233,502161,459200,1990-01-15,0,0,1,0,0,0,0,0,0,0,1
234,83424A,191900,1990-01-15,0,0,0,0,1,0,1,0,0,0,0
235,457188,428236,1990-01-17,0,0,0,0,0,0,1,0,0,0,0
236,359590,138006,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,629050,138006,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,629050,359590,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,670006,138006,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,670006,359590,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,670006,629050,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,835699,138006,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,835699,359590,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,835699,629050,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,835699,670006,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,891493,138006,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
236,891493,359590,1990-01-20,0,0,0,0,1,1,0,0,0,0,1
